ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35338082;2026-03-21;09:30:00;ENGLAND 1;Brighton;Liverpool;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3;3.35;2.28;2.32;3.75;3.8;0.0;0.0;0.0;0.0;0.0;0.0;18.0;21.0;1.05;1.06;5.1;5.2;1.23;1.25;2.36;2.4;1.72;1.74;1.53;1.57;2.78;2.88;1.21;1.23;5.4;5.7;1.62;1.66;2.52;2.6;17.5;20.0;12.0;13.0;15.0;17.0;26.0;32.0;15.0;16.5;8.0;8.6;10.0;11.0;20.0;22.0;23.0;25.0;13.0;14.5;14.0;15.0;20.0;32.0;29.0;55.0;21.0;34.0;34.0;38.0;50.0;65.0;22.0;25.0;12.5;14.0;17.5;1000.0
35351202;2026-03-21;10:00:00;SPAIN 1;Elche;Mallorca;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.24;2.28;3.7;3.85;3.4;3.45;0.0;0.0;0.0;0.0;0.0;0.0;10.5;12.5;1.09;1.1;3.35;3.55;1.39;1.43;1.79;1.87;2.16;2.26;1.3;1.34;4.0;4.4;1.11;1.13;8.8;10.0;1.92;1.97;2.02;2.1;11.0;12.0;11.5;13.0;22.0;28.0;60.0;95.0;8.2;8.8;6.8;7.6;14.0;18.5;40.0;55.0;11.5;14.0;10.0;11.5;17.0;20.0;32.0;65.0;24.0;30.0;21.0;28.0;26.0;44.0;40.0;140.0;17.5;21.0;46.0;60.0;11.0;1000.0
35351205;2026-03-21;11:00:00;ITALY 1;Parma;US Cremonese;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.12;2.16;4.4;4.6;3.25;3.35;0.0;0.0;0.0;0.0;0.0;0.0;9.4;11.0;1.1;1.12;3.25;3.45;1.41;1.45;1.75;1.8;2.26;2.32;1.29;1.32;4.2;4.5;1.1;1.12;9.6;11.0;1.94;2.0;2.0;2.08;9.8;11.0;12.0;14.0;19.5;32.0;38.0;120.0;7.6;8.4;6.6;7.2;16.0;18.5;50.0;65.0;12.0;14.0;9.8;11.0;17.0;19.5;34.0;90.0;17.0;26.0;21.0;25.0;26.0;44.0;12.5;140.0;17.5;20.0;34.0;80.0;13.0;1000.0
35350093;2026-03-21;11:30:00;GERMANY 1;Bayern Munich;Union Berlin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.19;1.2;16.0;17.0;9.8;10.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;55.0;1.02;1.03;8.4;9.4;1.11;1.14;3.55;3.9;1.35;1.38;2.0;2.12;1.89;2.0;1.44;1.49;3.05;3.3;1.96;2.04;1.97;2.04;28.0;50.0;30.0;65.0;15.5;1000.0;16.5;1000.0;12.5;14.5;20.0;23.0;46.0;55.0;15.5;1000.0;9.0;10.0;11.0;12.5;32.0;38.0;15.0;1000.0;8.8;9.8;11.5;13.5;21.0;34.0;15.0;1000.0;2.76;2.98;15.5;1000.0;16.5;1000.0
35349757;2026-03-21;11:30:00;GERMANY 1;FC Heidenheim;Leverkusen;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.7;6.0;1.61;1.64;4.6;4.9;0.0;0.0;0.0;0.0;0.0;0.0;21.0;36.0;1.03;1.05;5.8;6.2;1.19;1.21;2.62;2.74;1.57;1.62;1.65;1.7;2.44;2.54;1.27;1.3;4.4;4.7;1.69;1.74;2.36;2.44;18.0;26.0;11.0;12.5;10.0;12.0;14.5;16.0;18.0;27.0;10.0;11.0;9.4;10.5;13.5;15.0;42.0;55.0;19.5;23.0;16.5;18.0;22.0;28.0;13.0;160.0;50.0;70.0;48.0;65.0;60.0;80.0;46.0;60.0;5.8;6.4;13.5;1000.0
35350094;2026-03-21;11:30:00;GERMANY 1;FC Koln;Mgladbach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.34;2.42;3.15;3.35;3.6;3.65;0.0;0.0;0.0;0.0;0.0;0.0;14.5;18.0;1.06;1.07;4.3;4.6;1.28;1.31;2.1;2.2;1.84;1.9;1.44;1.48;3.1;3.3;1.17;1.19;6.2;6.8;1.69;1.74;2.36;2.44;15.0;21.0;12.5;14.5;19.5;24.0;44.0;60.0;10.5;12.0;7.6;8.2;12.0;14.5;29.0;36.0;14.0;16.5;10.5;12.5;14.0;17.0;34.0;48.0;27.0;34.0;20.0;25.0;29.0;40.0;60.0;95.0;14.5;17.0;24.0;30.0;9.6;1000.0
35349743;2026-03-21;11:30:00;GERMANY 1;Wolfsburg;Werder Bremen;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.52;2.62;2.88;2.98;3.65;3.75;0.0;0.0;0.0;0.0;0.0;0.0;16.0;19.5;1.05;1.07;4.6;5.0;1.25;1.28;2.22;2.32;1.76;1.82;1.48;1.52;2.92;3.05;1.19;1.22;5.7;6.2;1.65;1.69;2.46;2.52;16.5;18.5;12.5;14.5;18.0;22.0;25.0;55.0;12.0;13.0;7.8;8.4;11.5;13.5;19.0;30.0;16.0;18.5;10.5;12.0;14.0;16.5;23.0;38.0;22.0;42.0;21.0;26.0;22.0;36.0;32.0;80.0;15.5;17.5;19.0;22.0;12.0;1000.0
35338086;2026-03-21;12:00:00;ENGLAND 1;Fulham;Burnley;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.61;1.62;6.6;7.0;4.2;4.4;0.0;0.0;0.0;0.0;0.0;0.0;14.0;15.5;1.06;1.08;4.2;4.4;1.3;1.32;2.06;2.1;1.91;1.94;1.4;1.43;3.35;3.45;1.15;1.17;7.0;7.4;2.0;2.04;1.96;2.0;14.0;15.5;19.5;22.0;48.0;60.0;19.0;240.0;8.0;8.6;8.8;9.4;22.0;25.0;38.0;1000.0;8.6;9.0;9.4;9.8;19.5;23.0;38.0;110.0;13.5;15.0;15.5;17.0;32.0;38.0;42.0;140.0;8.2;8.8;19.0;160.0;18.0;1000.0
35351503;2026-03-21;12:15:00;SPAIN 1;Espanyol;Getafe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.56;2.58;3.5;3.55;3.0;3.1;0.0;0.0;0.0;0.0;0.0;0.0;6.8;7.2;1.16;1.18;2.38;2.46;1.69;1.73;1.44;1.48;3.1;3.25;1.16;1.17;6.8;7.4;1.05;1.06;18.5;24.0;2.44;2.5;1.66;1.7;6.8;7.2;8.0;8.8;19.5;23.0;13.0;100.0;6.2;6.8;6.6;7.2;15.5;18.5;55.0;70.0;12.0;13.5;12.5;14.0;25.0;32.0;13.5;120.0;23.0;44.0;24.0;44.0;13.0;85.0;14.5;1000.0;25.0;50.0;13.5;130.0;15.5;1000.0
35376438;2026-03-21;12:30:00;PORTUGAL 1;Famalicao;CD Nacional Funchal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.71;1.8;5.2;5.7;3.85;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.02;2.18;1.85;1.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
