ID_Evento;Date;Time;League;Home;Away;Odd_Under05_HT_Back;Odd_Under05_HT_Lay;Odd_Over05_HT_Back;Odd_Over05_HT_Lay;Odd_Under15_HT_Back;Odd_Under15_HT_Lay;Odd_Over15_HT_Back;Odd_Over15_HT_Lay;Odd_Under25_HT_Back;Odd_Under25_HT_Lay;Odd_Over25_HT_Back;Odd_Over25_HT_Lay;Odd_H_Back;Odd_H_Lay;Odd_A_Back;Odd_A_Lay;Odd_D_Back;Odd_D_Lay;Odd_1X_Back;Odd_1X_Lay;Odd_X2_Back;Odd_X2_Lay;Odd_12_Back;Odd_12_Lay;Odd_Under05_FT_Back;Odd_Under05_FT_Lay;Odd_Over05_FT_Back;Odd_Over05_FT_Lay;Odd_Under15_FT_Back;Odd_Under15_FT_Lay;Odd_Over15_FT_Back;Odd_Over15_FT_Lay;Odd_Under25_FT_Back;Odd_Under25_FT_Lay;Odd_Over25_FT_Back;Odd_Over25_FT_Lay;Odd_Under35_FT_Back;Odd_Under35_FT_Lay;Odd_Over35_FT_Back;Odd_Over35_FT_Lay;Odd_Under45_FT_Back;Odd_Under45_FT_Lay;Odd_Over45_FT_Back;Odd_Over45_FT_Lay;Odd_BTTS_Yes_Back;Odd_BTTS_Yes_Lay;Odd_BTTS_No_Back;Odd_BTTS_No_Lay;Odd_CS_0x0_Back;Odd_CS_0x0_Lay;Odd_CS_0x1_Back;Odd_CS_0x1_Lay;Odd_CS_0x2_Back;Odd_CS_0x2_Lay;Odd_CS_0x3_Back;Odd_CS_0x3_Lay;Odd_CS_1x0_Back;Odd_CS_1x0_Lay;Odd_CS_1x1_Back;Odd_CS_1x1_Lay;Odd_CS_1x2_Back;Odd_CS_1x2_Lay;Odd_CS_1x3_Back;Odd_CS_1x3_Lay;Odd_CS_2x0_Back;Odd_CS_2x0_Lay;Odd_CS_2x1_Back;Odd_CS_2x1_Lay;Odd_CS_2x2_Back;Odd_CS_2x2_Lay;Odd_CS_2x3_Back;Odd_CS_2x3_Lay;Odd_CS_3x0_Back;Odd_CS_3x0_Lay;Odd_CS_3x1_Back;Odd_CS_3x1_Lay;Odd_CS_3x2_Back;Odd_CS_3x2_Lay;Odd_CS_3x3_Back;Odd_CS_3x3_Lay;Odd_CS_Goleada_H_Back;Odd_CS_Goleada_H_Lay;Odd_CS_Goleada_A_Back;Odd_CS_Goleada_A_Lay;Odd_CS_Goleada_D_Back;Odd_CS_Goleada_D_Lay
35324616;2026-03-14;10:00:00;SPAIN 1;Girona;Athletic Bilbao;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8;2.92;2.72;2.82;3.4;3.45;0.0;0.0;0.0;0.0;0.0;0.0;11.0;12.5;1.08;1.1;3.5;3.65;1.38;1.4;1.83;1.88;2.14;2.2;1.31;1.34;3.95;4.2;1.11;1.13;8.8;9.6;1.87;1.91;2.1;2.16;11.5;12.5;9.6;10.5;15.5;17.5;24.0;44.0;9.8;11.0;6.8;7.4;11.0;13.0;25.0;34.0;16.0;18.5;11.5;13.0;16.0;19.0;38.0;60.0;38.0;50.0;21.0;34.0;27.0;50.0;40.0;130.0;20.0;32.0;19.0;32.0;60.0;1000.0
35323190;2026-03-14;11:00:00;ITALY 1;Inter;Atalanta;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;1.59;6.0;6.6;4.8;5.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;21.0;1.05;1.06;4.4;4.8;1.26;1.3;2.2;2.3;1.78;1.83;1.47;1.51;2.98;3.1;1.19;1.21;5.9;6.2;1.88;1.94;2.06;2.14;17.5;21.0;19.0;22.0;44.0;55.0;44.0;210.0;8.2;9.0;9.6;10.5;20.0;25.0;65.0;90.0;8.6;9.6;9.0;9.8;20.0;24.0;34.0;75.0;13.5;15.5;14.0;15.5;21.0;32.0;40.0;140.0;7.2;7.8;38.0;120.0;60.0;1000.0
35322574;2026-03-14;11:30:00;GERMANY 1;Dortmund;Augsburg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.45;1.47;7.8;8.4;5.1;5.3;0.0;0.0;0.0;0.0;0.0;0.0;22.0;36.0;1.03;1.05;5.9;6.4;1.19;1.21;2.64;2.76;1.57;1.61;1.66;1.71;2.42;2.52;1.27;1.3;4.4;4.7;1.79;1.84;2.2;2.26;22.0;28.0;28.0;34.0;55.0;75.0;48.0;1000.0;10.0;11.5;10.5;12.0;24.0;30.0;38.0;1000.0;9.2;10.5;9.4;10.5;19.0;22.0;55.0;85.0;11.5;13.0;12.5;14.5;25.0;30.0;38.0;95.0;4.9;5.3;38.0;1000.0;60.0;1000.0
35322575;2026-03-14;11:30:00;GERMANY 1;Eintracht Frankfurt;FC Heidenheim;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;1.61;5.9;6.6;4.6;5.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;26.0;1.04;1.05;5.5;6.0;1.2;1.23;2.52;2.64;1.6;1.66;1.61;1.65;2.54;2.64;1.25;1.28;4.7;5.0;1.73;1.79;2.28;2.36;21.0;24.0;21.0;27.0;27.0;55.0;44.0;1000.0;10.0;11.5;9.8;11.0;20.0;24.0;32.0;75.0;10.0;11.0;9.2;10.5;17.0;20.0;55.0;65.0;14.0;15.5;13.5;15.5;23.0;29.0;36.0;1000.0;5.8;6.4;55.0;1000.0;55.0;1000.0
35322538;2026-03-14;11:30:00;GERMANY 1;Hoffenheim;Wolfsburg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.48;1.5;6.8;7.4;5.1;5.4;0.0;0.0;0.0;0.0;0.0;0.0;21.0;36.0;1.03;1.04;6.8;7.4;1.16;1.18;2.94;3.1;1.47;1.52;1.79;1.85;2.18;2.28;1.34;1.37;3.75;3.95;1.65;1.69;2.46;2.54;21.0;34.0;30.0;34.0;32.0;75.0;46.0;190.0;12.0;13.5;11.0;12.5;23.0;28.0;34.0;85.0;10.5;12.0;9.4;10.5;17.0;19.5;30.0;65.0;13.0;15.0;12.5;14.0;21.0;26.0;48.0;85.0;4.6;5.0;30.0;70.0;95.0;1000.0
35322558;2026-03-14;11:30:00;GERMANY 1;Leverkusen;Bayern Munich;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;5.6;1.63;1.64;4.8;5.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;40.0;1.02;1.03;8.0;8.6;1.13;1.15;3.25;3.45;1.41;1.44;1.93;2.0;2.0;2.08;1.4;1.42;3.35;3.5;1.5;1.51;2.98;3.0;24.0;40.0;15.0;17.5;13.0;15.0;16.5;19.0;22.0;38.0;11.0;12.5;9.8;11.0;12.5;14.5;46.0;60.0;19.0;23.0;14.0;16.5;18.5;22.0;42.0;120.0;44.0;55.0;38.0;48.0;42.0;55.0;28.0;34.0;4.8;5.1;95.0;1000.0
35320012;2026-03-14;12:00:00;ENGLAND 1;Burnley;Bournemouth;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2;4.4;1.9;1.91;4.0;4.2;0.0;0.0;0.0;0.0;0.0;0.0;17.0;20.0;1.05;1.07;4.7;4.9;1.26;1.27;2.24;2.3;1.78;1.8;1.48;1.51;2.98;3.1;1.19;1.21;5.9;6.2;1.73;1.77;2.3;2.38;17.0;19.0;9.6;10.5;11.5;12.5;19.0;21.0;16.5;18.0;8.4;8.8;10.0;10.5;17.0;18.0;30.0;34.0;15.5;17.0;16.0;16.5;27.0;30.0;55.0;90.0;42.0;48.0;44.0;55.0;60.0;80.0;40.0;140.0;9.8;10.5;140.0;1000.0
35319996;2026-03-14;12:00:00;ENGLAND 1;Sunderland;Brighton;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5;3.55;2.32;2.36;3.45;3.5;0.0;0.0;0.0;0.0;0.0;0.0;11.5;12.5;1.09;1.1;3.55;3.6;1.38;1.4;1.83;1.87;2.14;2.2;1.31;1.33;4.0;4.2;1.11;1.13;9.0;9.8;1.89;1.95;2.06;2.14;11.0;12.0;8.6;9.2;12.5;14.0;25.0;30.0;11.0;12.5;7.0;7.6;10.0;11.0;22.0;26.0;21.0;25.0;13.0;14.5;17.0;19.5;38.0;55.0;48.0;70.0;40.0;46.0;44.0;70.0;90.0;120.0;36.0;55.0;20.0;23.0;60.0;1000.0
35324684;2026-03-14;12:15:00;SPAIN 1;Atletico Madrid;Getafe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;1.62;8.2;8.6;3.85;3.95;0.0;0.0;0.0;0.0;0.0;0.0;9.0;9.8;1.11;1.13;2.84;2.94;1.52;1.54;1.64;1.67;2.48;2.58;1.23;1.25;5.0;5.3;1.08;1.1;11.5;13.5;2.54;2.58;1.63;1.65;9.0;10.0;17.0;19.0;44.0;75.0;110.0;1000.0;5.4;5.7;8.4;9.0;26.0;34.0;44.0;1000.0;7.4;8.0;10.0;11.0;27.0;34.0;46.0;220.0;13.5;15.0;20.0;23.0;46.0;60.0;110.0;320.0;11.5;13.0;95.0;1000.0;60.0;1000.0
35324714;2026-03-14;13:00:00;FRANCE 1;Lorient;Lens;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3;4.7;1.89;1.96;3.75;3.9;0.0;0.0;0.0;0.0;0.0;0.0;13.5;18.0;1.06;1.08;4.1;4.4;1.29;1.33;2.04;2.16;1.86;1.95;1.4;1.45;3.25;3.5;1.15;1.18;6.4;7.8;1.79;1.87;2.16;2.26;14.5;17.0;8.6;9.8;10.5;12.5;19.0;23.0;14.5;17.5;7.8;8.8;9.2;11.0;17.5;21.0;28.0;36.0;15.0;18.5;16.0;19.0;28.0;36.0;9.8;110.0;44.0;60.0;42.0;60.0;9.8;110.0;9.2;60.0;10.5;12.0;10.5;1000.0
